42
49,94
51,95
40,99
39
35,89
34,99
29,02
28,64
34,94
39,94
42,44
49,57
48,69
37,44
37,3
44,12
51,59
59,07
55
52
52
52,44
49,27
42,79
39,66
39,2
37,28
36,63
39,06
44,98
50,74
56,41
59,2
68,49
65,99
65,75
61,72
59,09
58,24
59,98
71,86
75,83
69,05
57,42
54,72
51,12
51,46
52,48
44,75
45,23
41,9
39,93
41,54
48,18
58,29
69,58
75,32
64,62
61,04
60,84
58,75
57,84
57,47
59,63
67,16
137,21
90,17
74,94
48,9
68,73
65
39
42,7
40
34,2
32,2
39
37,95
45,56
73,01
73
72,85
72,51
71,72
71,59
69
67,13
68,26
66,01
63,74
62,22
54,99
49,88
47,61
48,94
42,7
36,32
40,85
39,49
35,64
35,73
39,03
51,42
65,26
63,65
63,22
61,53
61,53
60,44
61,23
64,1
69,7
74,6
114,75
85,88
70,83
56,47
52,78
53,73
52,65
45,19
43,34
42,12
40,51
42,77
44,95
66,55
86,03
86,35
71,01
75,08
84,9
67,36
63,5
65,62
66,21
69,85
169,32
107,85
82,63
75,61
76,22
101,74
52,71
49,99
42,6
36,2
39,93
40,36
44,41
40,02
49,48
58,85
63,32
55,29
63,65
58,78
52,63
51,62
59,08
72,77
63,75
69,99
48,61
46,51
48,5
46,23
41,65
37,35
36,31
36,47
40,09
38
36,31
37,71
44,56
47,23
56,29
59,16
62,13
59,06
51,23
50,6
53,86
60,95
69,21
71,58
67,7
61,59
64
59,35
55,76
48,58
46,67
43,75
39,92
43,24
51,21
81,14
87,17
79,43
80
80
80
79,89
78,81
77,04
73,77
77,51
83,87
79,11
57,67
51,09
50,91
49,62
51,92
46,43
41,33
39,56
40,45
42,54
50
77,15
77,45
81,55
83,16
84,09
82,06
80
77,79
75,69
74,5
88,38
102,9
85,63
76,86
58,63
53,78
54,11
52,58
50,1
47,83
43,9
41,57
44,78
56,68
87,23
90,42
87,77
69,96
78,92
79,98
79,56
79,82
78,87
79,45
68,87
72,49
68,84
64,23
55
64,3
77,51
67,19
60,37
60,71
51,37
48,46
60,01
65,35
100,01
65,81
111,18
86,71
86,4
82,94
113,29
79,69
91,86
104,73
82,49
128,53
110,08
62,8
55,64
51,52
47,99
48,16
44,53
41,66
38,49
36,98
38,07
50,5
75
100,01
84,04
77,95
79,2
69,27
65,42
60,76
56,96
58,43
79,67
77,54
68,39
62,21
58,69
57,89
57,23
62,1
55,47
52,29
42,5
41,98
45,33
51,76
45,38
81,62
83,49
75,75
69,19
68,28
61,23
60,79
60,43
66,07
75,39
89,24
85,48
79,48
72,88
76,3
72,13
50,73
45,23
48,61
50,2
48
38,94
38,59
49,83
50,79
52,1
70,2
68,72
74,94
74,26
64,72
59,82
59,56
75,41
92,48
84,61
83,97
80,16
78,39
72,49
45,07
43,25
39,08
37,57
38,24
39,06
55,59
105,32
119,78
119,03
115,67
117,08
112,28
111,14
113,44
112,42
113,37
120
124,83
113,96
103,59
84,97
85,3
65,3
114,96
101,73
64,3
56,19
55,07
66,87
94
139,5
145,51
143,58
135,44
129,22
115,24
109,32
115,5
120,68
127,46
142,78
162,31
136,39
114,66
88,61
94,05
98,85
74,5
63,04
60,57
54,73
53,29
65,99
88,23
120
122,07
120
111,75
98,95
95,89
91,02
89,92
86,7
92,45
116,9
130
117,26
98,66
84,18
95,55
95,55
73,25
68,43
67,78
63,32
62,14
66,71
83,92
103
117,35
108,68
94
93,69
90,63
90,19
91,59
92
91,03
100,1
134,23
109,97
94
83,17
79
79,3
74,93
74,78
72,88
69,36
64,56
77,29
95,92
110,63
143,33
121,54
116,65
104,76
78,8
82,68
91,98
91,2
92,07
97,09
116,35
115
98,52
88,91
85,99
94,98
48,34
56,32
48,34
55,49
54,33
53,73
48,34
44,63
45,89
48,34
48,34
48,34
45,89
48,34
45,89
47,56
56,07
65,91
104,86
66,05
48,6
45,89
48,34
48,34
38,6
53,56
39,94
38,2
39,94
39,94
40
49,7
60,06
64,19
66,88
68,61
69,24
63,53
57,17
54,56
57,81
65,04
90,44
85,5
83,04
77,34
77,45
76,24
60,7
57,96
51,84
50,03
48,08
55,19
90,42
124,1
129,72
125,39
122,88
109,66
101,3
101,98
95,11
103
102,4
109,98
134,51
115,32
101,2
96,91
91,64
64,18
86,83
82,07
54,34
55,83
54,58
56,71
112,72
200
204,69
155,48
151,07
135
121,58
117,68
112,21
117,18
120
131,01
144,98
125,96
124,83
96,3
93,71
90,74
96,72
85,03
72,36
71,16
67,85
73,39
108,58
151,14
206,12
168,73
151,29
134,23
129,75
120,38
124,22
125,89
120,29
122,9
194,95
146,8
120
100,67
99,18
95
94,75
91,47
83,04
77,88
75,82
84,66
100,47
134,68
164,92
129,72
166,68
120
101,28
88,8
96,07
112,63
110,74
175
139
121,3
99,1
84,83
80,34
79,52
74
55,38
60,93
57,7
56,14
56
67,47
91,56
102,69
91,25
90
82,08
75,59
62,56
67
68,94
70,03
75
69,46
73,17
63,03
55,76
56,42
54,51
47,4
46,46
46,97
39
37,39
37,78
36,4
39,65
47,4
47,4
52
61,73
59,86
47,91
51,64
49,92
54,15
60,6
75,89
70
65,78
52,1
52,17
53,36
50,75
47,1
40,62
37,88
40,32
39,37
40,8
37
42,14
47,1
50,19
52,07
53,9
49,8
43,25
43,88
47,1
61,11
87,8
59,29
58,24
53,36
52,06
47,1
41,75
43,03
37,24
36,05
35,11
36,43
47,1
58,01
64,59
66,71
70,15
69,91
69,23
67,99
61,32
55,98
55,94
78,53
75,96
76,09
66,46
61,22
57,06
58,17
57,05
51,93
50,49
48,27
48,27
52,25
68,38
90,52
95,97
89,26
89,8
89,82
82,36
82,02
90,36
89,75
90,2
95
104,33
90
83,37
60,67
58,26
55,77
50
49,89
48,36
45,87
39,3
46,64
55,91
71,62
77,68
76,9
76,75
75,83
73,35
71,9
68,93
66,29
63,03
69,43
72,62
72,74
64,39
50,18
59,12
49,8
39,59
37,68
36,43
32,3
31,05
32,66
39,91
55,58
57,19
59,1
58,55
57,66
57,66
54,44
50,9
47,1
45,98
